图片,最高分,是否检出,检测框
双色并蒂莲.jpg,0,未检出,-
夜鹭-16.jpg,0,未检出,-
夜鹭-2.jpg,0,未检出,-
旋壁雀.jpg,0,未检出,-
海南鳽.jpg,0,未检出,-
潜鸟.jpg,0,未检出,-
灰喜鹊.jpg,0,未检出,-
猫头鹰.jpg,0,未检出,-
白尾鹞.jpg,0,未检出,-
耗子.jpg,0,未检出,-
苍鹭-2.jpg,0,未检出,-
豪猪.jpg,0,未检出,-
走鹃.jpg,0,未检出,-
鲸头鹳（幼年）.jpg,0,未检出,-
鸊鷉.jpg,0,未检出,-
尼斯湖水怪.jpg,0.2609,检出,[106,30 158x257]
壁画.jpg,0.274,检出,[25,22 290x378]
鹭鸨.jpg,0.3002,检出,[35,11 145x258]
斑嘴鸭.jpg,0.3055,检出,[107,19 148x243]
梦核.jpg,0.3227,检出,[112,56 72x236]
狮鹫.jpg,0.3358,检出,[36,14 263x280]
黑翅鸢.jpg,0.3431,检出,[0,71 250x190]
夜鹭-11.jpg,0.4472,检出,[4,10 299x166]
蝙蝠侠.jpg,0.4574,检出,[0,16 314x155]
风神翼龙幼鸟.jpg,0.4894,检出,[29,19 240x249]
企鹅物流.jpg,0.5085,检出,[10,15 257x242]
苇鳽.jpg,0.5163,检出,[3,105 248x162]
夜鹭-4.jpg,0.5235,检出,[8,18 235x204]
克莱因瓶.jpg,0.5477,检出,[13,3 110x334]
竹叶.jpg,0.5504,检出,[18,11 188x340]
夜鹭mini.jpg,0.593,检出,[25,39 264x222]
路灯.jpg,0.5965,检出,[78,19 108x243]
游隼.jpg,0.6198,检出,[12,87 252x114]
夜鹭-7.jpg,0.6314,检出,[0,113 213x132]
夜鹭-14.jpg,0.6361,检出,[0,53 376x190]
黑鳽.jpg,0.6376,检出,[52,58 150x246]
麋鹿.jpg,0.6466,检出,[23,27 151x207]
白鹇.jpg,0.6489,检出,[36,68 290x182]
双头食人魔.jpg,0.6652,检出,[0,27 252x190]
雨燕.jpg,0.6744,检出,[15,21 373x161]
鸵鸟（幼）.jpg,0.6786,检出,[0,0 214x246]
驼鹿.jpg,0.6841,检出,[45,26 199x193]
山羊.jpg,0.698,检出,[46,33 137x289]
果树.jpg,0.7095,检出,[249,284 30x38]
金雕.jpg,0.7102,检出,[20,10 225x231]
SU-27.jpg,0.7115,检出,[21,11 295x273]
非洲灰鹦鹉.jpg,0.7132,检出,[36,24 68x203]
双头向日葵.jpg,0.7145,检出,[41,82 165x192]
夜鹭-9.jpg,0.716,检出,[44,3 255x316]
绿头鸭.jpg,0.7163,检出,[10,35 298x83]
夜鹭-10.jpg,0.7256,检出,[52,80 182x265]
母鸡.jpg,0.7342,检出,[73,18 157x257]
留声机.jpg,0.7406,检出,[77,33 218x111]
果蝠.jpg,0.7586,检出,[61,37 209x232]
雕塑海鸥.jpg,0.7735,检出,[16,23 239x166]
鸵鸟.jpg,0.7751,检出,[13,8 284x251]
鸬鹚.jpg,0.7755,检出,[96,23 93x230]
蓝长腺珊瑚蛇.jpg,0.7851,检出,[6,1 349x157]
蝙蝠-2.jpg,0.7917,检出,[65,5 126x230]
白唇竹叶青.jpg,0.7931,检出,[31,1 166x167]
烟花爆竹.jpg,0.7999,检出,[57,292 238x107]
三趾鹑.jpg,0.8041,检出,[77,80 132x123]
